ID_Commande,Order_ID,Product,Quantity_Ordered
1,141234,iPhone,1
2,141235,Lightning Charging Cable,1
3,141236,Wired Headphones,2
4,141237,27in FHD Monitor,1
5,141238,Wired Headphones,1
6,141239,AAA Batteries (4-pack),1
7,141240,27in 4K Gaming Monitor,1
8,141241,USB-C Charging Cable,1
9,141242,Bose SoundSport Headphones,1
10,141243,Apple Airpods Headphones,1
11,141244,Apple Airpods Headphones,1
12,141245,Macbook Pro Laptop,1
13,141246,AAA Batteries (4-pack),3
14,141247,27in FHD Monitor,1
15,141248,Flatscreen TV,1
16,141249,27in FHD Monitor,1
17,141250,Vareebadd Phone,1
18,141251,Apple Airpods Headphones,1
19,141252,USB-C Charging Cable,1
20,141253,AA Batteries (4-pack),1
21,141254,AAA Batteries (4-pack),1
22,141255,USB-C Charging Cable,1
23,141256,Google Phone,1
24,141257,Apple Airpods Headphones,1
25,141258,AA Batteries (4-pack),1
26,141259,AAA Batteries (4-pack),2
27,141260,AAA Batteries (4-pack),1
28,141261,USB-C Charging Cable,1
29,141262,AAA Batteries (4-pack),1
30,141263,Bose SoundSport Headphones,1
31,141264,Apple Airpods Headphones,1
32,141265,Apple Airpods Headphones,1
33,141266,27in 4K Gaming Monitor,1
34,141267,Apple Airpods Headphones,1
35,141268,AA Batteries (4-pack),1
36,141269,27in 4K Gaming Monitor,1
37,141270,Wired Headphones,1
38,141271,USB-C Charging Cable,1
39,141272,AAA Batteries (4-pack),1
40,141273,Wired Headphones,2
41,141274,USB-C Charging Cable,1
42,141275,USB-C Charging Cable,1
43,141275,Wired Headphones,1
44,141276,Lightning Charging Cable,1
45,141277,Bose SoundSport Headphones,1
46,141278,Lightning Charging Cable,1
47,141279,Lightning Charging Cable,1
48,141280,AAA Batteries (4-pack),1
49,141281,Lightning Charging Cable,1
50,141282,Vareebadd Phone,1
51,141283,Flatscreen TV,1
52,141284,Wired Headphones,1
53,141285,AAA Batteries (4-pack),3
54,141286,27in 4K Gaming Monitor,1
55,141287,Bose SoundSport Headphones,1
