ID_Date,Order_Date,Date,Heure,Année,Mois,Jour
1,2019-01-22 21:25:00,2019-01-22,21:25:00,2019,01,22
2,2019-01-28 14:15:00,2019-01-28,14:15:00,2019,01,28
3,2019-01-17 13:33:00,2019-01-17,13:33:00,2019,01,17
4,2019-01-05 20:33:00,2019-01-05,20:33:00,2019,01,05
5,2019-01-25 11:59:00,2019-01-25,11:59:00,2019,01,25
6,2019-01-29 20:22:00,2019-01-29,20:22:00,2019,01,29
7,2019-01-26 12:16:00,2019-01-26,12:16:00,2019,01,26
8,2019-01-05 12:04:00,2019-01-05,12:04:00,2019,01,05
9,2019-01-01 10:30:00,2019-01-01,10:30:00,2019,01,01
10,2019-01-22 21:20:00,2019-01-22,21:20:00,2019,01,22
11,2019-01-07 11:29:00,2019-01-07,11:29:00,2019,01,07
12,2019-01-31 10:12:00,2019-01-31,10:12:00,2019,01,31
13,2019-01-09 18:57:00,2019-01-09,18:57:00,2019,01,09
14,2019-01-25 19:19:00,2019-01-25,19:19:00,2019,01,25
15,2019-01-03 21:54:00,2019-01-03,21:54:00,2019,01,03
16,2019-01-05 17:20:00,2019-01-05,17:20:00,2019,01,05
17,2019-01-10 11:20:00,2019-01-10,11:20:00,2019,01,10
18,2019-01-24 08:13:00,2019-01-24,08:13:00,2019,01,24
19,2019-01-30 09:28:00,2019-01-30,09:28:00,2019,01,30
20,2019-01-17 00:09:00,2019-01-17,00:09:00,2019,01,17
21,2019-01-08 11:51:00,2019-01-08,11:51:00,2019,01,08
22,2019-01-09 20:55:00,2019-01-09,20:55:00,2019,01,09
23,2019-01-29 10:40:00,2019-01-29,10:40:00,2019,01,29
24,2019-01-12 18:51:00,2019-01-12,18:51:00,2019,01,12
25,2019-01-19 21:47:00,2019-01-19,21:47:00,2019,01,19
26,2019-01-20 17:26:00,2019-01-20,17:26:00,2019,01,20
27,2019-01-01 22:00:00,2019-01-01,22:00:00,2019,01,01
28,2019-01-09 18:14:00,2019-01-09,18:14:00,2019,01,09
29,2019-01-16 12:35:00,2019-01-16,12:35:00,2019,01,16
30,2019-01-11 23:33:00,2019-01-11,23:33:00,2019,01,11
31,2019-01-03 09:46:00,2019-01-03,09:46:00,2019,01,03
32,2019-01-01 16:52:00,2019-01-01,16:52:00,2019,01,01
33,2019-01-02 22:21:00,2019-01-02,22:21:00,2019,01,02
34,2019-01-09 08:28:00,2019-01-09,08:28:00,2019,01,09
35,2019-01-14 10:13:00,2019-01-14,10:13:00,2019,01,14
